Tipo Titulo;Vencimento do Titulo;Data Resgate;PU;Quantidade;Valor
Tesouro Prefixado com Juros Semestrais;01/01/2025;01/07/2024;48,808850;111409,89;5437788,61
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/07/2024;48,808850;197554,16;9642391,37
Tesouro Prefixado com Juros Semestrais;01/01/2029;01/07/2024;48,808850;482341,64;23542540,75
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/07/2024;48,808850;967796,78;47237047,87
Tesouro Prefixado com Juros Semestrais;01/01/2033;01/07/2024;48,808850;1526404,10;74502028,76
Tesouro Prefixado com Juros Semestrais;01/01/2035;01/07/2024;48,808850;243615,36;11890585,57
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/07/2024;360,571637;6556,91;2364235,77
Tesouro IPCA+ com Juros Semestrais;15/08/2026;17/02/2025;130,215151;327941,82;42702993,61
Tesouro IPCA+ com Juros Semestrais;15/08/2030;17/02/2025;130,215151;302318,43;39366440,01
Tesouro IPCA+ com Juros Semestrais;15/08/2032;17/02/2025;130,215151;370092,46;48191645,56
Tesouro IPCA+ com Juros Semestrais;15/08/2040;17/02/2025;130,215151;414651,63;53993924,62
Tesouro IPCA+ com Juros Semestrais;15/08/2050;17/02/2025;130,215151;260367,43;33903784,22
Tesouro IPCA+ com Juros Semestrais;15/08/2060;17/02/2025;130,215151;6128,66;798044,39
Tesouro IPCA+ com Juros Semestrais;15/05/2035;18/11/2024;128,832229;784791,92;101106492,35
Tesouro IPCA+ com Juros Semestrais;15/05/2045;18/11/2024;128,832229;29461,11;3795540,47
Tesouro IPCA+ com Juros Semestrais;15/05/2055;18/11/2024;128,832229;680042,36;87611373,05
Tesouro IGPM+ com Juros Semestrais;01/01/2031;02/01/2025;379,974896;6307,24;2396592,86
Tesouro Prefixado com Juros Semestrais;01/01/2025;02/01/2025;48,808850;99981,35;4879974,71
Tesouro Prefixado com Juros Semestrais;01/01/2027;02/01/2025;48,808850;184474,80;9004002,84
Tesouro Prefixado com Juros Semestrais;01/01/2029;02/01/2025;48,808850;449322,56;21930917,43
Tesouro Prefixado com Juros Semestrais;01/01/2031;02/01/2025;48,808850;901178,49;43985485,74
Tesouro Prefixado com Juros Semestrais;01/01/2033;02/01/2025;48,808850;1369369,79;66837364,68
Tesouro Prefixado com Juros Semestrais;01/01/2035;02/01/2025;48,808850;599494,81;29260652,25
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/07/2025;376,388563;6202,24;2334452,20
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/07/2025;48,808850;175001,34;8541614,15
Tesouro Prefixado com Juros Semestrais;01/01/2029;01/07/2025;48,808850;424691,11;20728684,69
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/07/2025;48,808850;843610,89;41175677,39
Tesouro Prefixado com Juros Semestrais;01/01/2033;01/07/2025;48,808850;1266781,57;61830151,63
Tesouro Prefixado com Juros Semestrais;01/01/2035;01/07/2025;48,808850;1705468,80;83241970,83
Tesouro IPCA+ com Juros Semestrais;15/05/2035;15/05/2025;133,230372;1119169,63;149107386,14
Tesouro IPCA+ com Juros Semestrais;15/05/2045;15/05/2025;133,230372;101315,94;13498360,37
Tesouro IPCA+ com Juros Semestrais;15/05/2055;15/05/2025;133,230372;722588,43;96270725,33
Tesouro IPCA+ com Juros Semestrais;15/05/2035;17/11/2025;134,862488;1380580,25;186188487,40
Tesouro IPCA+ com Juros Semestrais;15/05/2055;17/11/2025;134,862488;688821,31;92896155,65
