Tipo Titulo;Vencimento do Titulo;Data Resgate;PU;Quantidade;Valor
Tesouro Prefixado;04/01/2005;04/01/2005;1000,000000;24714,00;24714000,00
Tesouro Selic;16/02/2005;16/02/2005;2205,900143;8632,40;19042212,39
Tesouro IGPM+ com Juros Semestrais;01/12/2005;01/12/2005;1823,358458;40179,80;73262178,17
Tesouro Prefixado;01/10/2005;03/10/2005;1000,000000;57148,40;57148400,00
Tesouro IGPM+ com Juros Semestrais;01/07/2005;01/07/2005;1832,980489;1809,00;3315861,71
Tesouro Prefixado;01/07/2005;01/07/2005;1000,000000;40151,40;40151400,00
Tesouro Prefixado;01/04/2005;01/04/2005;1000,000000;10288,40;10288400,00
Tesouro IPCA+ com Juros Semestrais;15/08/2006;15/08/2006;1597,453270;11968,80;19119598,70
Tesouro Prefixado;01/07/2006;03/07/2006;1000,000000;80788,20;80788200,00
Tesouro Prefixado;01/04/2006;03/04/2006;1000,000000;58361,20;58361200,00
Tesouro Prefixado;01/01/2006;02/01/2006;1000,000000;87447,80;87447800,00
Tesouro Selic;18/01/2006;18/01/2006;2595,140243;11854,60;30764349,53
Tesouro Prefixado;01/04/2007;02/04/2007;1000,000000;44003,60;44003600,00
Tesouro IPCA+ com Juros Semestrais;15/05/2007;15/05/2007;1644,040083;13546,40;22270824,58
Tesouro IGPM+ com Juros Semestrais;01/12/2006;01/12/2006;1887,104411;106,20;200410,48
Tesouro Prefixado;01/01/2007;02/01/2007;1000,000000;58928,00;58928000,00
Tesouro Selic;17/01/2007;17/01/2007;2979,075812;22438,80;66846886,33
Tesouro Prefixado;01/10/2006;02/10/2006;1000,000000;69239,40;69239400,00
Tesouro Prefixado;01/01/2008;02/01/2008;1000,000000;80829,00;80829000,00
Tesouro Prefixado com Juros Semestrais;01/01/2008;02/01/2008;1000,000000;35021,40;35021400,00
Tesouro Prefixado;01/10/2007;01/10/2007;1000,000000;42722,80;42722800,00
Tesouro Prefixado;01/07/2007;02/07/2007;1000,000000;60329,00;60329000,00
